CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
37.368.315/0001-04;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS - VERT 5;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS - VERT 5;2021-02-18;2020-05-15;;;ATIVO;2021-02-18;25593;Securitização de Recebíveis;;Categoria B;2021-02-18;FASE PRÉ-OPERACIONAL;2020-11-17;PRIVADO;SEDE;RUA CARDEAL ARCOVERDE;Nº 2365, 7º ANDAR;SP;SÃO PAULO;SP;;5407003;11;33851800;;;juridico@vert-capital.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;VICTORIA DE SÁ;2020-05-15;RUA CARDEAL ARCOVERDE;Nº 2365, 7º ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;0;0;dri_vertprovi@vert-capital.com;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
32.770.457/0001-71;COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT-GYRA;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-GYRA;2020-07-30;2019-01-29;;;ATIVO;2020-07-30;25020;Securitização de Recebíveis;;Categoria B;2020-07-30;FASE OPERACIONAL;2020-04-23;PRIVADO;SEDE;RUA CARDEAL ARCOVERDE 2365;7º ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;;;dri_vertgyra@vert-capital.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;VICTORIA DE SÁ ARCOVERDE;2020-03-28;RUA CARDEAL ARCOVERDE 2365;7º ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;0;0;dri_vertgyra@vert-capital.com;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
34.469.625/0001-19;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI;2020-11-05;2019-07-22;;;ATIVO;2020-11-05;25267;Securitização de Recebíveis;;Categoria B;2020-11-05;FASE OPERACIONAL;2020-09-01;PRIVADO;SEDE;RUA CARDEAL ARCOVERDE, Nº 2365,;7º ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;;;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;VICTORIA DE SÁ;2019-07-22;RUA CARDEAL ARCOVERDE, Nº 2365;, 7º ANDA;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;0;0;dri_vertprovi@vert-capital.com;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
30.219.233/0001-40;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-REBEL;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-FINTECH;2018-08-28;2018-04-04;;;ATIVO;2018-08-28;24511;Securitização de Recebíveis;;Categoria B;2018-08-28;FASE PRÉ-OPERACIONAL;2018-04-04;PRIVADO;SEDE;RUA CARDEAL ARCO VERDE, 2365;7º ANDAR;PINHEIROS;SÃO PAULO;SP;BRASIL;5407003;011;33851800;011;33851800;dri_vertfintech@vert-capital.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;VICTORIA DE SÁ;2019-03-28;RUA CARDEAL ARCOVERDE, 2365;7° ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;11;33851800;dri_vertfintech@vert-capital.com;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
35.522.281/0001-27;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS;2021-10-01;2019-10-04;;;ATIVO;2021-10-01;26263;Securitização de Recebíveis;;Categoria B;2021-10-01;FASE OPERACIONAL;2021-07-02;PRIVADO;SEDE;RUA CARDEAL ARCOVERDE 2365,;7° ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;;;dri_virtus@vert-capital.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;VICTORIA DE SÁ;2019-10-04;RUA CARDEAL ARCOVERDE 2365;7° ANDAR;PINHEIROS;SÃO PAULO;SP;;5407003;11;33851800;0;0;dri_virtus@vert-capital.com;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
02.790.893/0001-41;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;COSIPA;1999-06-14;1999-01-29;2005-04-05;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA;2005-04-05;18317;Metalurgia e Siderurgia;;;;;;PRIVADO;SEDE;AV. DO CAFÉ, 277 TORRE B 8º E;9º ANDARES;VILA GUARANI;SÃO PAULO;SP;BRASIL;4311000;11;50708800;11;50708909;investidores@cosipa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;MAGNO JOSE GONFIANTINI;1999-06-14;AV. DO CAFÉ, 277 TORRE B 8º E;9º ANDARES;VILA GUARANI;SÃO PAULO;SP;;4311000;11;50708979;11;50708895;magno@cosipa.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
60.651.726/0001-16;COMPANHIA SUZANO DE PAPEL E CELULOSE;SUZANO;1977-07-20;1923-01-01;2004-06-30;INCORPORAÇÃO;CANCELADA;2004-06-30;4065;Papel e Celulose;;;;;;PRIVADO;SEDE;AV.BRIG.FARIA LIMA,1355;5º AO 10º ANDARES;PINHEIROS;SÃO PAULO;SP;BRASIL;1452919;11;30379000;11;38157078;ri@suzano.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;BERNARDO SZPIGEL;1977-07-20;AV.BRIG. FARIA LIMA,1355;8º ANDAR;PINHEIROS;SÃO PAULO;SP;;1452919;11;30379435;11;38157078;bernardo@bahiasul.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
87.762.563/0001-03;COMPANHIIA HABITASUL DE PARTICIPAÇÕES;CIA HABITASUL DE PARTICIPAÇÕES;1982-04-19;1981-09-28;;;ATIVO;1982-04-19;3298;Emp. Adm. Part. - Crédito Imobiliário;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1982-04-19;PRIVADO;SEDE;AV. CARLOS GOMES, N° 400, ED. JOãO BENJAMIM ZAFFARI;SALA 505;BAIRRO BOA VISTA;PORTO ALEGRE;RS;;90480900;51;32203516;51;32203751;ri@habitasul.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ODIVAN CARLOS CARGNIN;2019-04-29;RUA GENERAL JOÃO MANOEL, 157;15 ANDAR, SALA 150;CENTRO;PORTO ALEGRE;RS;;90010030;51;3220351;51;3220375;ri@habitasul.com.br;21.601.212/0001-02;BAKER TILLY BRASIL RS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
97.406.706/0001-90;COMPAQ FINANCIAL SERVICES ARREND MERC SA;COMPAQ FINANCIAL SERVICES ARRENDAMENTO MERCANTIL;1995-08-11;1994-01-01;2004-04-22;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA;2004-04-22;14990;Arrendamento Mercantil;;;;;;ESTRANGEIRO;SEDE;RUA DO MERCADO, 11 - 15º ANDAR;;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20010120;21;38248900;21;25325202;lamsa@ibm.net;DIRETOR DE RELAÇÕES COM INVESTIDORES;ISMAEL PAES GERVASIO;2004-04-15;ALAMEDA RIO NEGRO, 750;2º ANDAR - SALA 3;ALPHAVILLE;BARUERI;;;6454000;11;41978540;11;41978356;ismael.gervasio@hp.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
04.928.297/0001-00;COMPAR CIA PAR REFRIGERANTES;COMPAR;1977-07-20;;1993-02-03;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA;1993-02-03;4588;Bebidas e Fumo;;;;;;PRIVADO;SEDE;AV JOAQUIM NABUCO 1012;;;MANAUS;AM;BRASIL;69013000;92;6232719;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;SILVIO DOS SANTOS VIEIRA;1977-07-20;ROD AUGUSTO MONTENEGRO KM 7;;;BELÉM;PA;;66000000;91;2482029;0091;;;00.000.769/4952-49;REYNALDO DE SOUZA MELLO
21.389.501/0001-81;COMPASS GÁS E ENERGIA S.A.;COMPASS GÁS E ENERGIA S.A.;2020-09-28;2014-11-12;;;ATIVO;2020-09-28;25127;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;;Categoria A;2020-09-28;FASE OPERACIONAL;2020-07-30;PRIVADO;SEDE;AVENIDA BRIGADEIRO FARIA LIMA;4100/16º AND/SL 24;ITAIM BIBI;SÃO PAULO;SP;;4538132;11;38979797;;;ri@compassbr.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;DEMÉTRIO ANTONIO DE TOLEDO MAGALHÃES FILHO;2022-01-01;AVENIDA BRIGADEIRO FARIA LIMA;4º ANDAR;ITAIM BIBI;SÃO PAULO;SP;;4538132;11;38979797;0;0;ri@compassbr.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
61.231.155/0001-23;COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO;COMPESCA;1977-07-20;1966-06-14;2021-08-20;Cancelamento de ofício - IN CVM 480/09;CANCELADA;2021-08-20;4596;Pesca;;Categoria A;2010-01-01;LIQUIDAÇÃO EXTRAJUDICIAL;1996-11-20;PRIVADO;SEDE;R PADRE ARNALDO CAIFA Nº 10;;VILA LIGIA;GUARUJÁ;SP;BRASIL;11430020;13;33582711;0013;33582719;coopnipoct@linkbr.com.br;;;;;;;;;;;;;;;;52.386.935/0001-51;AUDITÉCNICA - AUDITORES INDEPENDENTES
54.540.448/0001-27;COMPUGRAF TECNOL. E SISTEMA SA;COMPRUGRAF;1993-11-24;;1998-09-25;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA;1998-09-25;14230;Máquinas, Equipamentos, Veículos e Peças;;;;;;PRIVADO;SEDE;R AUGUSTA 1642  9AND;;;SÃO PAULO;SP;BRASIL;1304903;11;2853322;11;2434046;;DIRETOR DE RELAÇÕES COM INVESTIDORES;JACQUES NASSER;1993-11-24;RUA AUGUSTA 1642 - 8 AND;;;SÃO PAULO;SP;;1304001;11;2514155;0011;2510747;;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
10.678.505/0001-63;CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL;CONCESSIONARIA RODOVIAS TIETE SA;2012-02-09;2009-02-19;;;ATIVO;2012-02-09;22721;Serviços Transporte e Logística;;Categoria B;2012-02-09;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;2019-12-19;PRIVADO;SEDE;Rod. Comendador Mario Dedini, km 108 + 600 mts;Caixa Postal 02;Rodovia;SALTO;SP;BRASIL;13320970;11;46027900;11;46028069;ri@rodoviasdotiete.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;NUNO FILIPE NOGUEIRA ALVES COELHO;2015-11-11;ROD. COMENDADOR MARIO DEDINI,;KM108+600MTS;RODOVIA;SALTO;;;13320970;11;46027900;11;46028069;ri@rodoviasdotiete.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
15.578.569/0001-06;CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.;;2014-10-24;2012-05-08;;;ATIVO;2014-10-24;23515;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria B;2014-10-24;FASE OPERACIONAL;2014-08-13;PRIVADO HOLDING;SEDE;Rodovia Hélio Smidt, Aeroporto Internacional de São Paulo;s/nº;Cumbica;GUARULHOS;SP;BRASIL;7190100;11;24456999;11;24456999;dri@gru.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;RICARDO ROCHA PERRONE;2016-09-01;RODOVIA HÉLIO SMIDT S/N;AEROPORT S. PAULO;CUMBICA;GUARULHOS;SP;;7190100;11;24456999;11;24456999;dri@gru.com.br;07.326.840/0001-98;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
18.572.225/0001-88;CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.;CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.;2016-02-19;2015-12-14;;;ATIVO;2016-02-19;23868;Serviços Transporte e Logística;;Categoria B;2016-02-19;FASE OPERACIONAL;2015-12-14;PRIVADO;SEDE;RUA CAIAPIA, 86;QD. E5 LOTE 5;ALPHAVILLE EMPRESAR.;GOIÂNIA;GO;BRASIL;74884554;62;36238900;62;36238900;daniel.amaral@triunfoconcebra.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;DANIEL SEVERO AMARAL;2015-11-26;RUA CAIAPIA, 86;QD E5 LOTE 5;ALPHAVILLE EMPRES.;GOIÂNIA;GO;;74884554;62;36238900;62;36238900;daniel.amaral@triunfoconcebra.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
01.654.604/0001-14;CONCES DA ROD OSÓRIO-POA S/A - CONCEPA;CONCES DA ROD OSORIO-POA S/A - CONCEPA;1998-08-11;1998-08-11;2017-12-05;Cancelamento Voluntário - IN CVM 480/09;CANCELADA;2017-12-05;17590;Serviços Transporte e Logística;;Categoria B;2010-06-02;FASE OPERACIONAL;1998-08-11;PRIVADO;SEDE;Av. Voluntários da Patria nº 4813;casa;Floresta;PORTO ALEGRE;RS;BRASIL;90230011;51;30277419;51;30277438;odenir@concepa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ROSMERY ZAMBONI;2014-02-14;AV. VOLUNTÁRIOS DA PATRIA;4813 - CASA;FLORESTA;PORTO ALEGRE;RS;;90230011;51;30277419;51;30277438;rose@triunfoconcepa.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
02.327.817/0001-02;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;METRÔ RIO;1998-01-23;1998-01-22;2009-11-30;ELISÃO POR INCORPORAÇÃO;CANCELADA;2009-11-30;16810;Serviços Transporte e Logística;;Categoria A;2010-01-01;;;PRIVADO;SEDE;AV PRESIDENTE VARGAS, 2000;;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20210031;21;32116300;21;32116335;metrorio@metrorio.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;RENATO CESAR MOREIRA BRAGA;2007-03-01;AV. PRESIDENTE VARGAS;2000;CENTRO;RIO DE JANEIRO;RJ;;20210031;21;32116300;21;32116308;drm@metrorio.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S
10.324.624/0001-18;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA;METRÔRIO;2010-09-20;2008-08-20;;;ATIVO;2010-09-20;22144;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria B;2010-09-20;FASE OPERACIONAL;2010-09-20;PRIVADO HOLDING;SEDE;Avenida Presidente Vargas n° 2000 e 2700;Prédio;Centro;RIO DE JANEIRO;RJ;BRASIL;20210031;21;32116301;21;32116361;dri@metrorio.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;HERBERT ADRIANO QUIRINO DOS SANTOS;2021-11-16;AV PRESIDENTE VARGAS;200;CENTRO;RIO DE JANEIRO;RJ;;20010031;21;21311100;;;dri@metrorio.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
10.531.501/0001-58;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;2010-11-22;2008-11-12;;;ATIVO;2010-11-22;22268;Serviços Transporte e Logística;BALCÃO NÃO ORGANIZADO;Categoria B;2010-11-22;FASE OPERACIONAL;2010-11-22;PRIVADO;SEDE;Avenida Issa Marar, nº 2-200;nº 2-200;Parque Res Samambaia;BAURU;SP;BRASIL;17018002;14;31042300;14;31042300;dri@cart.invepar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;GILSON DE OLIVEIRA CARVALHO;2010-04-30;AVENIDA ISSA MARAR, Nº 2-200;;PARQUE RES SAMAMBAIA;BAURU;SP;;17018002;14;31042300;14;31042300;gilson.carvalho@entrevias.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
10.531.501/0001-58;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;2010-11-22;2008-11-12;;;ATIVO;2010-11-22;22268;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria B;2010-11-22;FASE OPERACIONAL;2010-11-22;PRIVADO;SEDE;Avenida Issa Marar, nº 2-200;nº 2-200;Parque Res Samambaia;BAURU;SP;BRASIL;17018002;14;31042300;14;31042300;dri@cart.invepar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;GILSON DE OLIVEIRA CARVALHO;2010-04-30;AVENIDA ISSA MARAR, Nº 2-200;;PARQUE RES SAMAMBAIA;BAURU;SP;;17018002;14;31042300;14;31042300;gilson.carvalho@entrevias.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
10.531.501/0001-58;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;2010-11-22;2008-11-12;;;ATIVO;2010-11-22;22268;Serviços Transporte e Logística;BOLSA;Categoria B;2010-11-22;FASE OPERACIONAL;2010-11-22;PRIVADO;SEDE;Avenida Issa Marar, nº 2-200;nº 2-200;Parque Res Samambaia;BAURU;SP;BRASIL;17018002;14;31042300;14;31042300;dri@cart.invepar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;GILSON DE OLIVEIRA CARVALHO;2010-04-30;AVENIDA ISSA MARAR, Nº 2-200;;PARQUE RES SAMAMBAIA;BAURU;SP;;17018002;14;31042300;14;31042300;gilson.carvalho@entrevias.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
19.726.048/0001-00;CONCESSIONÁRIA BR-040 S.A.;CONCESSIONÁRIA BR-040 S.A.;2016-03-18;2015-12-16;;;ATIVO;2016-03-18;23892;Serviços Transporte e Logística;;Categoria B;2016-03-18;FASE OPERACIONAL;2015-12-16;PRIVADO HOLDING;SEDE;AVENIDA NIAGARA, Nº 350;Nº 350;JARDIM CANADA;NOVA LIMA;MG;;34007652;31;35070014;31;35070014;ri@via040.invepar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;MARCUS VINICIUS FIGUR DA ROSA;2021-03-09;AVENIDA ALMIRANTE BARROSO, 52;SL 3001 E 3002;CENTRO;RIO DE JANEIRO;RJ;;20031000;21;22111300;21;22111300;ri@via040.invepar.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
36.763.716/0001-98;CONCESSIONARIA CATARINENSE DE RODOVIAS S.A.;CONCESSIONARIA CATARINENSE DE RODOVIAS S.A.;2022-06-21;2020-03-11;;;ATIVO;2022-06-21;26859;Emp. Adm. Part. - Serviços Transporte e Logística;;Categoria B;2022-03-29;FASE OPERACIONAL;2022-03-29;PRIVADO;SEDE;RUA SILVIO BURIGO;N¦ 555;OFICINAS;TUBARÃO;SC;;88702500;;;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;FAUSTO CAMILOTTI;2022-03-23;RUA SILVIO BURIGO;N¦ 555;OFICINAS;TUBARÃO;SC;;88702500;51;33039100;;;viasul.cvm@grupoccr.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
08.822.767/0001-08;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;2017-03-06;2007-05-16;;;ATIVO;2017-03-06;24104;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria B;2017-03-06;FASE OPERACIONAL;2016-11-25;PRIVADO;SEDE;AVENIDA JOAQUIM ANDRé;Nº 361;BAIRRO SANTA CLARA;DIVINÓPOLIS;MG;;35500712;11;35089600;11;35089601;ri@abnascentesdasgerais.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ALEXANDRE TUJISOKI;2016-09-28;AVENIDA JOAQUIM ANDRÉ, 361;;SANTA CLARA;DIVINÓPOLIS;MG;;35500712;11;35089600;11;35089601;ri@abnascentesdasgerais.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
10.841.050/0001-55;CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS;CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A;2011-02-22;2009-04-27;;;ATIVO;2011-02-22;22411;Serviços Transporte e Logística;;Categoria B;2011-02-22;FASE OPERACIONAL;2011-02-22;PRIVADO;SEDE;Rodovia Ayrton Senna , S/N Km 32- Pista Oeste;N/A;Itaquaquecetuba;SÃO PAULO;SP;BRASIL;8578010;11;46463400;11;46480627;invest@ecorodovias.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;LUCIANO LOUZANE;2019-09-02;RODOVIA AYRTON SENNA , S/N KM;32 PISTA OESTE;ITAQUAQUECETUBA;SÃO PAULO;SP;;8578010;11;46463400;11;43480627;invest@ecorodovias.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
32.161.500/0001-00;CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.;CONCESSÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.;2020-12-04;2018-11-21;;;ATIVO;2020-12-04;25356;Emp. Adm. Part. - Serviços Transporte e Logística;;Categoria B;2020-12-04;FASE OPERACIONAL;2020-10-21;PRIVADO;SEDE;AV. PARANÁ, Nº 2435;;NAVEGANTES;PORTO ALEGRE;RS;;90240600;051;33039100;;;fausto.camilotti@grupoccr.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;FAUSTO CAMILOTTI;2020-10-08;AV. PARANÁ, Nº 2435;;NAVEGANTES;PORTO ALEGRE;RS;;90240600;51;33039100;;;viasul.cvm@grupoccr.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
19.642.306/0001-70;CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.;CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.;2016-02-03;2014-01-21;;;ATIVO;2016-02-03;23833;Emp. Adm. Part. - Serviços Transporte e Logística;;Categoria B;2016-02-03;FASE OPERACIONAL;2015-10-27;PRIVADO;SEDE;Avenida Zilá Correa Machado, Nº. 5.600;;Bairro Moreninha;CAMPO GRANDE;MS;BRASIL;79065660;67;33579100;;;cvm.msvia@grupoccr.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;HEITOR DE SOUZA PIRES;2019-03-19;AV. ZILA CORREA MACHADO, 5600;-;BAIRRO MORENINHA;CAMPO GRANDE;MS;;79065660;67;33579100;67;33579100;cvm.msvia@grupoccr.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;INTERVIAS;2009-11-27;1999-05-28;;;ATIVO;2009-11-27;21849;Serviços Transporte e Logística;;Categoria B;2010-01-01;FASE OPERACIONAL;2009-11-27;PRIVADO HOLDING;SEDE;Via Anhanguera;km 168;Jd. Sobradinho;ARARAS;SP;BRASIL;13602004;19;35436000;19;35436013;dri@intervias.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;SIMONE APARECIDA BORSATO;2011-04-27;AV. JUSCELINO KUBITSCHEK, 1455;9º ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;;4534011;11;30742472;11;30742405;ri@arteris.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
02.415.408/0001-50;CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA;CONC ROD DO OESTE DE S.PAULO-VIAOESTE SA;2007-07-27;1998-03-04;;;ATIVO;2007-07-27;21024;Serviços Transporte e Logística;;Categoria B;2010-01-01;FASE OPERACIONAL;2007-07-27;PRIVADO;SEDE;ROD. PRES. CASTELLO BRANCO, KM 24 - LADO PAR SENTIDO CAPITAL;CONJUNTO NORTE;JARDIM MUTINGA;BARUERI;SP;;6463400;11;26646000;11;26646121;cvm.viaoeste@grupoccr.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;JOSÉ SALIM KALLAB FRAIHA;2020-06-01;ROD. PRES. CASTELLO BRANCO, KM;CONJUNTO NORTE;JARDIM MUTINGA;SÃO PAULO;SP;;6463400;11;26646000;0;0;cvm.viaoeste@grupoccr.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
02.451.848/0001-62;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;CONCESSIONÁRIA SO SISTEMA ANHANGUERA BANDEIRANTES S/A;2006-07-19;1998-05-01;;;ATIVO;2006-07-19;20192;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria B;2010-01-01;FASE OPERACIONAL;2006-07-19;PRIVADO;SEDE;Avenida Professora Maria do Carmo Guimarães Pellegrini, 200;;Retiro;JUNDIAÍ;SP;BRASIL;13209500;11;45894000;11;45894006;cvm.autoban@grupoccr.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ROGÉRIO CEZAR BAHÚ;2019-05-27;AV. PROFESSORA MARIA DO CARMO;200 - BLOCO E;RETIRO;JUNDIAÍ;SP;;13209500;11;45894004;0;0;cvm.autoban@grupoccr.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
02.451.848/0001-62;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;CONCESSIONÁRIA SO SISTEMA ANHANGUERA BANDEIRANTES S/A;2006-07-19;1998-05-01;;;ATIVO;2006-07-19;20192;Serviços Transporte e Logística;BOLSA;Categoria B;2010-01-01;FASE OPERACIONAL;2006-07-19;PRIVADO;SEDE;Avenida Professora Maria do Carmo Guimarães Pellegrini, 200;;Retiro;JUNDIAÍ;SP;BRASIL;13209500;11;45894000;11;45894006;cvm.autoban@grupoccr.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ROGÉRIO CEZAR BAHÚ;2019-05-27;AV. PROFESSORA MARIA DO CARMO;200 - BLOCO E;RETIRO;JUNDIAÍ;SP;;13209500;11;45894004;0;0;cvm.autoban@grupoccr.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
