DENOM_SOCIAL|DT_REG|DT_CANCEL|SIT|DT_INI_SIT|CD_CVM|SETOR_ATIV|CONTROLE_ACIONARIO
TUPY METALMECANICA SA|1991-07-15|1993-03-11|CANCELADA|1993-03-11|13870|Emp. Adm. Participações|PRIVADO
BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM|1991-09-24|1999-04-28|CANCELADA|1999-04-28|13897|Arrendamento Mercantil|PRIVADO
LEASING BMC SA ARREND MERC|1991-10-17|1998-11-18|CANCELADA|1998-11-18|13919|Arrendamento Mercantil|PRIVADO
ECONOMICO SA ARREND MERCANTIL|1991-10-31|2005-03-22|CANCELADA|2005-03-22|13943|Arrendamento Mercantil|PRIVADO
UNIBANCO LEASING S.A.- ARREND. MERCANTIL|1991-12-26|2005-11-30|CANCELADA|2005-11-30|13951|Arrendamento Mercantil|PRIVADO
HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.|1991-12-16|2000-06-20|CANCELADA|2000-06-20|13960|Arrendamento Mercantil|PRIVADO
POTENZA LEASING ARREND MERC SA|1992-03-27|1998-05-12|CANCELADA|1998-05-12|13978|Arrendamento Mercantil|PRIVADO
BANORTE LEASING ARRENDAMENTO MERCANTIL SA EM LIQUIDAÇÃO EXTRAJUDICIAL|1992-05-12|2006-07-18|CANCELADA|2006-07-18|14001|Arrendamento Mercantil|PRIVADO
BFB LEASING S.A. ARRENDAMENTO MERCANTIL|1992-12-01|2012-05-24|CANCELADA|2012-05-24|14052|Arrendamento Mercantil|PRIVADO
MESBLA TRUST REC CARTAO CRD SA|1992-12-18|2007-01-09|CANCELADA|2007-01-09|14060|Securitização de Recebíveis|PRIVADO
ALIPAR ALIMENTOS E PARTS SA|1992-12-28|1995-09-27|CANCELADA|1995-09-27|14079|Emp. Adm. Participações|PRIVADO
PONTUAL LEASING SA ARREND MERC|1993-01-18|2006-07-18|CANCELADA|2006-07-18|14087|Arrendamento Mercantil|PRIVADO
ELETROPAULO METROPOLITANA EL.S.PAULO S.A|1993-08-19||ATIVO|1993-08-19|14176|Energia Elétrica|PRIVADO
SAFRA LEASING SA ARRENDAMENTO  MERCANTIL|1993-09-21|2003-08-29|CANCELADA|2003-08-29|14184|Arrendamento Mercantil|PRIVADO
POLONIA PARTICIPACOES SA|1993-09-22|2002-06-03|CANCELADA|2002-06-03|14192|Emp. Adm. Participações|PRIVADO HOLDING
DIBENS LEASING S.A.- ARREND. MERCANTIL|1993-09-28||ATIVO|1993-09-28|14214|Arrendamento Mercantil|PRIVADO
FIGAR SA|1993-10-18|1998-06-26|CANCELADA|1998-06-26|14222|Emp. Adm. Participações|PRIVADO
IBM LEASING ARREND MERC SA|1993-12-03|1995-01-09|CANCELADA|1995-01-09|14257|Arrendamento Mercantil|PRIVADO
NQ PARTICIPAÇÕES S.A.|1993-12-21|2002-08-08|CANCELADA|2002-08-08|14273|Emp. Adm. Participações|PRIVADO
VANGUARDA CIA SEGUROS GERAIS|1994-04-19|1994-09-02|CANCELADA|1994-09-02|14338|Seguradoras e Corretoras|PRIVADO
CIA ENERGÉTICA DE PERNAMBUCO - CELPE|1994-04-29||ATIVO|1994-04-29|14362|Energia Elétrica|PRIVADO
IVEN SA|1994-05-17|2005-04-29|CANCELADA|2005-04-29|14389|Emp. Adm. Part. - Energia Elétrica|PRIVADO
MCOM SA TELECOMUNICACOES|1994-06-01|1995-07-20|CANCELADA|1995-07-20|14427|Emp. Adm. Participações|PRIVADO HOLDING
PARINCORP SA|1994-07-11|1998-09-23|CANCELADA|1998-09-23|14486|Emp. Adm. Participações|PRIVADO
CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA|1994-07-28||ATIVO|1994-07-28|14524|Energia Elétrica|PRIVADO
VBC ENERGIA SA|1994-08-30|2011-11-07|CANCELADA|2011-11-07|14540|Emp. Adm. Part. - Energia Elétrica|PRIVADO
RIBEIRAO PRETO WATER PARK SA|1994-10-11|2004-06-30|CANCELADA|2004-06-30|14583|Emp. Adm. Participações|PRIVADO
BOSFORO PARTICIPACOES SA|1994-10-17|1999-09-21|CANCELADA|1999-09-21|14591|Emp. Adm. Participações|PRIVADO HOLDING
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.|1994-10-25||ATIVO|1994-10-25|14605|Energia Elétrica|PRIVADO
NEUMARKT TRADE AND FINANCIAL CENTER S/A|1994-10-27||ATIVO|1994-10-27|14613|Crédito Imobiliário|PRIVADO
NET SERVIÇOS DE COMUNICAÇÃO S.A.|1994-11-22|2014-12-31|CANCELADA|2014-12-31|14621|Telecomunicações|PRIVADO HOLDING
PILCOMAYO PARTICIPACOES SA|1994-11-22|2002-01-17|CANCELADA|2002-01-17|14630|Emp. Adm. Participações|PRIVADO
TUPIANA SA|1994-12-06|1998-12-18|CANCELADA|1998-12-18|14648|Emp. Adm. Participações|PRIVADO
AUSTRAL INVESTIMENTOS SA|1994-12-02|2003-01-13|CANCELADA|2003-01-13|14656|Emp. Adm. Participações|PRIVADO
PARCOM PARTICIPACOES SA EM LIQUIDACAO|1994-12-22||ATIVO|1994-12-22|14680|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
PARNASSA SA|1995-01-04|2000-01-03|CANCELADA|2000-01-03|14729|Emp. Adm. Participações|PRIVADO HOLDING
NACIONAL FACTORING SA|1995-01-05|1997-07-07|CANCELADA|1997-07-07|14737|Bancos|PRIVADO
CIA INVESTS LATINOAMERICANA|1995-01-06|2003-01-13|CANCELADA|2003-01-13|14745|Emp. Adm. Participações|PRIVADO
UNIBANCO HOLDINGS S.A.|1995-01-24|2009-04-13|CANCELADA|2009-04-13|14753|Emp. Adm. Part. - Intermediação Financeira|PRIVADO HOLDING
ARBRA SA|1995-02-20|2003-01-16|CANCELADA|2003-01-16|14788|Emp. Adm. Participações|PRIVADO
BBC LEASING ARREND MERCANTIL-EM LIQUIDAÇÃO ORDINÁRIA|1995-02-21|2006-07-18|CANCELADA|2006-07-18|14800|Arrendamento Mercantil|PRIVADO
CIMS SA|1995-03-14||ATIVO|1995-03-14|14818|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
BBV LEASING BRASIL SA ARR MERC|1995-04-27|1999-07-01|CANCELADA|1999-07-01|14842|Arrendamento Mercantil|PRIVADO
HAUSCENTER SA|1995-05-02||ATIVO|1995-05-02|14850|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
CIA ENERG CEARA - COELCE|1995-06-13||ATIVO|1995-06-13|14869|Energia Elétrica|PRIVADO
FIBRA LEASING SA ARREND MERC|1995-06-14|2003-05-21|CANCELADA|2003-05-21|14885|Arrendamento Mercantil|PRIVADO
JUNGFRAU PARTICIPACOES SA|1995-06-16|1999-07-21|CANCELADA|1999-07-21|14893|Emp. Adm. Participações|PRIVADO HOLDING
PLAYCENTER SA|1995-06-16|2002-08-08|CANCELADA|2002-08-08|14907|Emp. Adm. Participações|PRIVADO
GTD PARTICIPACOES SA|1995-06-27|2015-04-07|CANCELADA|2015-04-07|14915|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
SANTANDER BRASIL ARRENDAMENTO MERCANTIL S.A.|1995-07-06|2009-11-30|CANCELADA|2009-11-30|14940|Arrendamento Mercantil|PRIVADO
CLUBEPAR SA|1995-08-07|2003-10-31|CANCELADA|2003-12-30|14982|Emp. Adm. Participações|PRIVADO
SULABENTURES SA|1995-08-16|2002-09-19|CANCELADA|2002-09-19|15008|Emp. Adm. Participações|PRIVADO
GRAPIA SA|1995-09-05|1998-12-18|CANCELADA|1998-12-18|15016|Emp. Adm. Participações|PRIVADO
FENICIAPAR S/A|1995-09-15||SUSPENSO(A) - DECISÃO ADM|2021-07-02|15024|Securitização de Recebíveis|PRIVADO
DIAMONDMALL SA EMPREENDS PARTS|1995-09-27|1997-01-10|CANCELADA|1997-01-10|15059|Emp. Adm. Participações|PRIVADO
TOP SHOPPING EMPRS E PARTS SA|1995-10-03|2000-05-16|CANCELADA|2000-05-16|15075|Emp. Adm. Participações|PRIVADO
CCB BRASIL ARRENDAMENTO MERCANTIL S/A|1995-11-16|2021-08-17|CANCELADA|2021-08-17|15121|Arrendamento Mercantil|PRIVADO
MASSA FALIDA DA CREFISUL LEASING SA ARREND MERCL|1995-12-11|2015-02-09|CANCELADA|2015-02-09|15164|Arrendamento Mercantil|PRIVADO
BOAVISTA SA ARREND MERCANTIL|1995-12-11|2003-11-12|CANCELADA|2003-11-12|15172|Arrendamento Mercantil|PRIVADO
HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN|1995-12-13|2004-10-29|CANCELADA|2004-10-29|15210|Arrendamento Mercantil|PRIVADO
BMD LEASING SA ARREND MERC|1995-12-13|1998-04-02|CANCELADA|1998-04-02|15229|Arrendamento Mercantil|PRIVADO
ENERGISA SA|1995-12-20||ATIVO|1995-12-20|15253|Emp. Adm. Part. - Energia Elétrica|PRIVADO
ABN AMRO ARRENDAMENTO MERCANTIL SA|1995-12-20|2009-09-30|CANCELADA|2009-09-30|15270|Arrendamento Mercantil|PRIVADO
CETERP-CENT TELEF RIB PRETO SA|1995-12-21|2000-10-24|CANCELADA|2000-10-24|15288|Telecomunicações|PRIVADO
RURAL LEASING SA ARREND MERC|1995-12-27|2006-05-23|CANCELADA|2006-05-23|15296|Arrendamento Mercantil|PRIVADO
ANCAR SHOPPING SA|1996-01-11|2001-11-30|CANCELADA|2001-11-30|15326|Emp. Adm. Participações|PRIVADO
BOMBRIL HOLDING SA|1996-01-12|2011-08-18|CANCELADA|2011-08-18|15334|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.|1996-01-19||ATIVO|1996-01-19|15342|Energia Elétrica|PRIVADO
S.A.V.SA|1996-01-26|2000-06-15|CANCELADA|2000-06-15|15350|Emp. Adm. Participações|PRIVADO
NOVA SHOPPING CENTER SA|1996-02-22|1997-02-05|CANCELADA|1997-02-05|15385|Emp. Adm. Participações|PRIVADO
COMPANHIA DE INVESTIMENTOS PARTICIPAR|1996-02-28|2001-08-20|CANCELADA|2001-08-20|15415|Emp. Adm. Participações|PRIVADO
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.|1996-02-28||ATIVO|1996-02-28|15423|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
M HOLDINGS SA|1996-03-01|1998-06-24|CANCELADA|1998-06-24|15431|Emp. Adm. Participações|PRIVADO HOLDING
EMBPAR PARTICIPAÇÕES S/A|1996-03-14||ATIVO|1996-03-14|15458|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
MCOM WIRELESS SA|1996-04-29|2005-06-17|CANCELADA|2005-06-17|15504|Emp. Adm. Participações|PRIVADO HOLDING
BANCO ALVORADA S.A.|1996-05-02|2003-10-28|CANCELADA|2003-10-28|15512|Bancos|PRIVADO
TUPINAMBARANA SA|1996-05-06|1997-10-30|CANCELADA|1997-10-30|15520|Emp. Adm. Participações|PRIVADO
NEOENERGIA S.A|1996-05-08||ATIVO|1996-05-08|15539|Emp. Adm. Part. - Energia Elétrica|PRIVADO
PARANA SHOPPING ADM DE BENS SA|1996-05-09|2001-09-03|CANCELADA|2001-09-03|15547|Emp. Adm. Participações|PRIVADO
CIDADELA TRUST RECEBIVEIS SA|1996-05-24|2008-03-18|CANCELADA|2008-03-18|15571|Securitização de Recebíveis|PRIVADO
ITABAPOANA PARTICIPACOES SA|1996-06-17|1998-07-14|CANCELADA|1998-07-14|15601|Emp. Adm. Participações|PRIVADO
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS|1996-07-03||ATIVO|1996-07-03|15636|Emp. Adm. Part. - Saneamento, Serv. Água e Gás|PRIVADO
TELETRUST DE RECEBIVEIS SA|1996-09-20|2005-06-01|CANCELADA|2005-06-01|15768|Bancos|PRIVADO
CIA INTER-ATLANTICO PARTICIPS|1996-10-10|1997-03-03|CANCELADA|1997-03-03|15792|Emp. Adm. Participações|PRIVADO
CIA TERRAS BONSUCESSO|1996-10-22|1999-05-13|CANCELADA|1999-05-13|15830|Emp. Adm. Participações|PRIVADO
ITAITINGA PARTICIPACOES SA|1996-11-07|2019-08-19|CANCELADA|2019-08-19|15865|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
TEXPAR SA|1996-11-08|2002-12-17|CANCELADA|2002-12-17|15873|Emp. Adm. Participações|PRIVADO
MERCANTIL DO BRASIL LEASING SA|1996-11-29|2017-05-31|CANCELADA|2017-05-31|15890|Arrendamento Mercantil|PRIVADO
PATÍ DO ALFERES PARTICIPAÇÕES S.A.|1996-12-05|2002-01-17|CANCELADA|2002-01-17|15911|Emp. Adm. Participações|PRIVADO HOLDING
RAIL SUL SA|1996-12-05|2006-01-31|CANCELADA|2006-01-31|15946|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
INDL BRASIL ARREND MERC SA|1996-12-05|2003-10-01|CANCELADA|2003-10-01|15954|Arrendamento Mercantil|PRIVADO
ROSSI SECURITIES SA|1996-12-23|2000-06-15|CANCELADA|2000-06-15|15989|Seguradoras e Corretoras|PRIVADO
SOLE DO BRASIL S.A. TELECOMUNICAÇÕES E COMERCIO EXTERIOR|1996-12-26|2010-01-04|CANCELADA|2010-01-04|16004|Telecomunicações|PRIVADO
SCGR EMPRS PARTICIPACOES SA|1997-01-22|1999-05-04|CANCELADA|1999-05-04|16063|Emp. Adm. Participações|PRIVADO
IRIRI PARTICIPACOES SA|1997-02-21|2001-09-04|CANCELADA|2001-09-04|16110|Emp. Adm. Participações|PRIVADO HOLDING
SE SA COMERCIO E IMPORTACAO|1997-02-21|1998-06-12|CANCELADA|1998-06-12|16128|Emp. Adm. Participações|PRIVADO HOLDING
ITINGA PARTICIPACOES SA|1997-02-21|1999-04-23|CANCELADA|1999-04-23|16136|Emp. Adm. Participações|PRIVADO HOLDING
TELET SA|1997-03-06|2006-06-30|CANCELADA|2006-06-30|16152|Telecomunicações|PRIVADO
AMERICEL SA|1997-03-26|2012-09-04|CANCELADA|2012-09-04|16195|Telecomunicações|PRIVADO
ELETRON SA|1997-04-15|2020-02-07|CANCELADA|2020-02-07|16209|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
VALETRON SA|1997-04-23|2015-12-23|CANCELADA|2015-12-23|16225|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
BELAPART SA|1997-04-23|2017-05-26|CANCELADA|2017-05-26|16233|Emp. Adm. Part. - Crédito Imobiliário|PRIVADO HOLDING
524 PARTICIPAÇOES SA|1997-05-30||ATIVO|1997-05-30|16284|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
INFOVIAS PNSC SA|1997-07-02|2002-05-27|CANCELADA|2002-05-27|16314|Emp. Adm. Participações|PRIVADO
521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL|1997-07-11||ATIVO|1997-07-11|16330|Emp. Adm. Part. - Energia Elétrica|PRIVADO
525 PARTICIPAÇOES SA|1997-07-16|2006-05-30|CANCELADA|2006-05-30|16349|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
OAHAKA PARTICIPACOES SA|1997-07-17|2002-09-30|CANCELADA|2002-09-30|16365|Emp. Adm. Participações|PRIVADO
MARINGA PARK SA|1997-07-31|2005-03-22|CANCELADA|2005-03-22|16381|Crédito Imobiliário|PRIVADO
LAEROB PARTICIPACOES SA|1997-08-26|2003-10-21|CANCELADA|2003-10-21|16420|Emp. Adm. Participações|PRIVADO
COMPANHIA DE PARTICIPAÇÕES ALPHA|1997-09-16|2008-11-27|CANCELADA|2008-11-27|16454|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
ZOGBI LEASING S/A ARRENDAMENTO MERCANTIL|1997-09-18|2004-12-23|CANCELADA|2004-12-23|16462|Arrendamento Mercantil|PRIVADO
ORBIS TRUST SECURITIZADORA DE CREDITOS S/A|1997-09-23|2008-07-28|CANCELADA|2008-07-28|16470|Securitização de Recebíveis|PRIVADO
BANKBOSTON COMPANHIA HIPOTECÁRIA|1997-10-07|2004-01-26|CANCELADA|2004-01-26|16500|Bancos|PRIVADO
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.|1997-10-13||ATIVO|1997-10-13|16527|Energia Elétrica|PRIVADO
RIO GRANDE ENERGIA SA|1997-10-13|2019-01-01|CANCELADA|2019-01-01|16535|Energia Elétrica|PRIVADO
CASCAIS PARTICIPACOES SA|1997-10-21|1999-12-13|CANCELADA|1999-12-13|16543|Emp. Adm. Participações|PRIVADO
BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO|1997-11-03||ATIVO|1997-11-03|16560|Emp. Adm. Part. - Energia Elétrica|PRIVADO
SUDESTE SA|1997-11-10||ATIVO|1997-11-10|16586|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.|1997-11-13||ATIVO|1997-11-13|16608|Energia Elétrica|PRIVADO
CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO|1997-11-17||ATIVO|1997-11-17|16616|Saneamento, Serv. Água e Gás|PRIVADO
UPTICK PARTICIPACOES SA|1997-11-19||ATIVO|1997-11-19|16624|Emp. Adm. Part. - Energia Elétrica|PRIVADO
PORTO SEGURO SA|1997-11-28||ATIVO|1997-11-28|16659|Emp. Adm. Part. - Seguradoras e Corretoras|PRIVADO
LIGA FUTEBOL SA|1997-12-08|2013-01-15|CANCELADA|2013-01-15|16691|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
YBYRÁ S.A.|1997-12-08||ATIVO|1997-12-08|16705|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
INEPAR ENERGIA SA|1997-12-17|2011-11-21|CANCELADA|2011-11-21|16730|Energia Elétrica|PRIVADO
EMBRAH TRUST SA|1998-01-08|2005-12-08|CANCELADA|2005-12-08|16764|Securitização de Recebíveis|PRIVADO
DOCASNET SA|1998-02-09|2001-10-02|CANCELADA|2001-10-02|16870|Emp. Adm. Participações|PRIVADO HOLDING
ARGENTUM PARTICIPACOES SA|1998-02-12|2000-06-20|CANCELADA|2000-06-20|16888|Emp. Adm. Participações|PRIVADO
CIA ENERGETICA MERIDIONAL|1998-02-26|2008-03-28|CANCELADA|2008-03-28|16900|Energia Elétrica|PRIVADO
AMARANTE PARTICIPACOES SA|1998-02-26|2000-06-20|CANCELADA|2000-06-20|16918|Emp. Adm. Participações|PRIVADO
ARDOSIA PARTICIPACOES SA|1998-02-26|2000-11-24|CANCELADA|2000-11-24|16926|Emp. Adm. Participações|PRIVADO
OPPORTUNITY ENERGIA E PARTICIPAÇÕES S.A.|1998-03-06|2021-12-03|CANCELADA|2021-12-03|16942|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO|1998-03-06|2017-05-30|CANCELADA|2017-05-30|16950|Emp. Adm. Part. - Saneamento, Serv. Água e Gás|PRIVADO HOLDING
GANGES PARTICIPACOES SA|1998-03-19|2000-06-27|CANCELADA|2000-06-27|16969|Emp. Adm. Participações|PRIVADO
MULTI-CAR RIO TERMINAL DE VEÍCULOS S/A|1998-03-26|2004-03-29|CANCELADA|2004-03-29|16977|Emp. Adm. Participações|PRIVADO
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.|1998-03-27||ATIVO|1998-03-27|16985|Energia Elétrica|PRIVADO
ITAÚ RENT ADM. E PARTICIPAÇÕES S.A.|1998-04-06|2002-08-19|CANCELADA|2002-08-19|17019|Emp. Adm. Participações|PRIVADO
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL|1998-04-06|2001-06-18|CANCELADA|2001-06-18|17027|Arrendamento Mercantil|PRIVADO HOLDING
FG TRUST SA|1998-04-16|2012-12-28|CANCELADA|2012-12-28|17043|Emp. Adm. Part. - Securitização de Recebíveis|PRIVADO
MASSA FALIDA DA PROCID PARTICIPAÇÕES E NEGÓCIOS SA|1998-05-04|2010-01-04|CANCELADA|2010-01-04|17060|Emp. Adm. Part. - Intermediação Financeira|PRIVADO HOLDING
TIM NORDESTE TELECOMUNICAÇÕES S.A.|1998-05-06|2005-12-06|CANCELADA|2005-12-06|17078|Telecomunicações|PRIVADO
CTMR CELULAR SA|1998-05-06|2003-07-31|CANCELADA|2003-07-31|17086|Telecomunicações|PRIVADO
TELAIMA CELULAR SA|1998-05-06|2000-11-17|CANCELADA|2000-11-17|17094|Telecomunicações|PRIVADO HOLDING
TELAMAZON CELULAR SA|1998-05-06|2000-11-17|CANCELADA|2000-11-17|17108|Telecomunicações|PRIVADO
TELASA CELULAR SA|1998-05-06|2004-01-30|CANCELADA|2004-01-30|17116|Telecomunicações|PRIVADO
TELEAMAPÁ CELULAR SA|1998-05-06|2000-11-17|CANCELADA|2000-11-17|17132|Telecomunicações|PRIVADO HOLDING
TELEBAHIA CELULAR SA|1998-05-06|2001-04-27|CANCELADA|2001-04-27|17140|Telecomunicações|PRIVADO HOLDING
TELEBRASÍLIA CELULAR SA|1998-05-06|2002-04-26|CANCELADA|2002-04-26|17159|Telecomunicações|PRIVADO
TELECEARÁ CELULAR SA|1998-05-06|2004-01-30|CANCELADA|2004-01-30|17167|Telecomunicações|PRIVADO
TELEGOIAS CELULAR SA|1998-05-06|2001-12-17|CANCELADA|2001-12-17|17175|Telecomunicações|PRIVADO
TELEPARÁ CELULAR SA|1998-05-06|2000-11-13|CANCELADA|2000-11-13|17183|Telecomunicações|PRIVADO
TELEPISA CELULAR SA|1998-05-06|2004-01-30|CANCELADA|2004-01-30|17191|Telecomunicações|PRIVADO
TELEMIG CELULAR SA|1998-05-06|2009-10-16|CANCELADA|2009-10-16|17213|Telecomunicações|PRIVADO
TIM SUL S.A.|1998-05-06|2005-12-06|CANCELADA|2005-12-06|17221|Telecomunicações|PRIVADO
TELERGIPE CELULAR SA|1998-05-06|2001-04-18|CANCELADA|2001-04-18|17230|Telecomunicações|PRIVADO HOLDING
TELERJ CELULAR SA|1998-05-06|2001-03-20|CANCELADA|2001-03-20|17248|Telecomunicações|PRIVADO
TELERN CELULAR SA|1998-05-06|2004-01-30|CANCELADA|2004-01-30|17256|Telecomunicações|PRIVADO
TELERON CELULAR SA|1998-05-06|2000-10-31|CANCELADA|2000-10-31|17264|Telecomunicações|PRIVADO
AMAZONIA CELULAR S/A|1998-05-06|2009-03-09|CANCELADA|2009-03-09|17280|Telecomunicações|PRIVADO HOLDING
TELEST CELULAR SA|1998-05-06|2001-03-20|CANCELADA|2001-03-20|17299|Telecomunicações|PRIVADO HOLDING
TELPA CELULAR SA|1998-05-06|2004-01-30|CANCELADA|2004-01-30|17302|Telecomunicações|PRIVADO
ALTA - AMER.LAT.TELEC.AVANÇADAS S/A|1998-05-11|2003-12-29|CANCELADA|2003-12-29|17310|Telecomunicações|PRIVADO
ENGIE BRASIL ENERGIA S.A.|1998-05-28||ATIVO|1998-05-28|17329|Energia Elétrica|PRIVADO
METALTRUST S/A (5212 PARTICIPAÇÕES S/A)|1998-06-16|2012-05-31|CANCELADA|2012-05-31|17370|Emp. Adm. Part. - Securitização de Recebíveis|PRIVADO
TEXTILIA SA|1998-06-26|2004-12-23|CANCELADA|2004-12-23|17426|Emp. Adm. Participações|PRIVADO HOLDING
POCONÉ PARTICIPAÇÕES SA|1998-07-02|2003-01-30|CANCELADA|2003-01-30|17469|Emp. Adm. Participações|PRIVADO HOLDING
PIRAJU PARTICIPACOES SA|1998-07-02|2001-09-06|CANCELADA|2001-09-06|17477|Emp. Adm. Participações|PRIVADO HOLDING
ELEKTRO REDES S.A.|1998-07-08||ATIVO|1998-07-08|17485|Energia Elétrica|PRIVADO
INNCORP S.A.|1998-07-20|2020-11-05|CANCELADA|2020-11-05|17558|Emp. Adm. Part. - Sem Setor Principal|PRIVADO HOLDING
TELE NORTE CELULAR PARTICIPAÇÕES SA|1998-08-18|2013-01-07|CANCELADA|2013-01-07|17604|Telecomunicações|PRIVADO HOLDING
EMBRATEL PARTICIPAÇÕES SA|1998-08-19|2014-12-31|CANCELADA|2014-12-31|17647|Telecomunicações|PRIVADO HOLDING
TELE NORTE LESTE PARTICIPAÇÕES SA|1998-08-19|2012-02-27|CANCELADA|2012-02-27|17655|Telecomunicações|PRIVADO HOLDING
TELE NORDESTE CELULAR PARTICIPAÇÕES SA|1998-08-19|2004-08-19|CANCELADA|2004-08-19|17663|Emp. Adm. Participações|PRIVADO HOLDING
TELEFÔNICA BRASIL S.A.|1998-08-19||ATIVO|1998-08-19|17671|Telecomunicações|PRIVADO
TELEMIG CELULAR PARTICIPAÇÕES S.A.|1998-08-19|2009-10-16|CANCELADA|2009-10-16|17701|Telecomunicações|PRIVADO HOLDING
VIVO PARTICIPAÇÕES SA|1998-08-19|2011-10-03|CANCELADA|2011-10-03|17710|Telecomunicações|PRIVADO HOLDING
CBCC PARTICIPAÇÕES SA|1998-08-24|2010-11-16|CANCELADA|2010-11-16|17728|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
FAROL DO LAGO SA|1998-08-25|2001-07-23|CANCELADA|2001-07-23|17736|Emp. Adm. Participações|PRIVADO
PÁTRIA INVESTIMENTOS IMOBILIÁRIOS S.A.|1998-09-10|2008-02-22|CANCELADA|2008-02-22|17744|Emp. Adm. Part. - Crédito Imobiliário|PRIVADO
RENNER PARTICIPAÇÕES SA|1998-09-15|2009-07-20|CANCELADA|2009-07-20|17752|Emp. Adm. Part. - Intermediação Financeira|PRIVADO
SUBESTAÇÃO ELETROMETRÔ S/A|1998-09-25|2015-03-04|CANCELADA|2015-03-04|17787|Emp. Adm. Part. - Energia Elétrica|PRIVADO
EASYPAR SA|1998-10-02|2010-01-04|CANCELADA|2010-01-04|17795|Intermediação Financeira|PRIVADO
S.F.S.P.V. EMPRS E PARTS SA|1998-10-02|1999-07-21|CANCELADA|1999-07-21|17809|Emp. Adm. Participações|PRIVADO HOLDING
TELESC CELULAR S/A|1998-10-05|2003-07-31|CANCELADA|2003-07-31|17825|Telecomunicações|PRIVADO
TELECOM STA CATARINA SA|1998-10-05|2000-02-28|CANCELADA|2000-02-28|17833|Telecomunicações|PRIVADO
BETAPART PARTICIPAÇÕES SA|1998-11-06||ATIVO|1998-11-06|17884|Emp. Adm. Part. - Crédito Imobiliário|PRIVADO HOLDING
BRAZILIAN FINANCE & REAL ESTATE S.A.|1998-11-10||ATIVO|1998-11-10|17922|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA|1998-11-27|2007-11-13|CANCELADA|2007-11-13|17957|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
GAMA PARTICIPAÇÕES S.A.|1998-12-01||ATIVO|1998-12-01|17965|Emp. Adm. Part. - Sem Setor Principal|PRIVADO
SONDIS BRASIL SA|1998-12-02|2000-02-03|CANCELADA|2000-02-03|17981|Emp. Adm. Participações|PRIVADO
REALPAR PARTICIPAÇÕES S.A-EM LIQUIDAÇÃO|1998-12-09|2002-01-14|CANCELADA|2002-01-14|18015|Emp. Adm. Participações|PRIVADO
REAL CONSÓRCIO PART. S.A.(EM LIQUIDAÇÃO)|1998-12-09|2002-01-14|CANCELADA|2002-01-14|18023|Emp. Adm. Participações|PRIVADO
ACTORI PARTICIPAÇÕES SA|1998-12-09|2002-04-24|CANCELADA|2002-04-24|18040|Emp. Adm. Participações|PRIVADO HOLDING
PARQUES TEMÁTICO HOPI HARI S.A|1998-12-09|2002-09-27|CANCELADA|2002-09-27|18058|Emp. Adm. Participações|PRIVADO HOLDING
ALTERE SECURITIZADORA S.A.|1998-12-10||ATIVO|1998-12-10|18066|Securitização de Recebíveis|PRIVADO HOLDING
